Site	Vegetation	Y	PC1	PC2	PC3	A	B	C
XZ08	Grasslands	1.336053833	-1.18119	-1.33779	0.0277	61.74000077	9.177984145	8.470000188
XZ08	Grasslands	1.34803992	-1.18119	-1.33779	0.0277	61.74000077	9.177984145	8.470000188
XZ08	Grasslands	1.352707082	-1.18119	-1.33779	0.0277	61.74000077	9.177984145	8.470000188
XZ08	Grasslands	1.386497925	-1.18119	-1.33779	0.0277	61.74000077	9.177984145	8.470000188
XZ08	Grasslands	1.409387381	-1.18119	-1.33779	0.0277	61.74000077	9.177984145	8.470000188
XZ09	Grasslands	1.291310504	-1.2337	-1.20295	-0.13319	47.64000042	9.417438594	9.113333432
XZ09	Grasslands	1.315480829	-1.2337	-1.20295	-0.13319	47.64000042	9.417438594	9.113333432
XZ09	Grasslands	1.31861161	-1.2337	-1.20295	-0.13319	47.64000042	9.417438594	9.113333432
XZ09	Grasslands	1.320492118	-1.2337	-1.20295	-0.13319	47.64000042	9.417438594	9.113333432
XZ09	Grasslands	1.324412991	-1.2337	-1.20295	-0.13319	47.64000042	9.417438594	9.113333432
XZ09	Grasslands	1.325791515	-1.2337	-1.20295	-0.13319	47.64000042	9.417438594	9.113333432
XZ09	Grasslands	1.336170855	-1.2337	-1.20295	-0.13319	47.64000042	9.417438594	9.113333432
XZ09	Grasslands	1.337649678	-1.2337	-1.20295	-0.13319	47.64000042	9.417438594	9.113333432
